data,conta,campaign_id,campaign_name,adset_id,adset_name,gasto,impressoes_meta,alcance,frequencia,cpm,cliques_link,ctr_link,cpc_link,conversas,custo_conversa,status_atual,orcamento_diario_atual,leads_entrada,cliques_ad,threads,leads_qualificados,leads_avaliados,receita_estimada_brl,sessoes,leads_com_sessao,gap_clique_sessao,pct_chegada_blog,sessoes_por_lead,taxa_qualificacao,receita_gam_bruta,receita_gam_liquida,impressoes_gam,cliques_gam,ecpm_gam
2026-07-22,C 01,120247357080990278,[E1] [MKUKER] [AFS] [F3] [AMARA OKAFOR] [ISABELA RIBEIRO],120247357080930278,[AFS] [F3] [AMARA OKAFOR] V1,0.99,619,611,1.0131,1.6,48,7.7544,0.0206,66,0.015,PAUSED,1,33,33,32,28,99,1.89,0,0,33,0,,28.3,3.15,2.83,63,6,49.99
2026-07-22,C 01,120247357080990278,[E1] [MKUKER] [AFS] [F3] [AMARA OKAFOR] [ISABELA RIBEIRO],120247357080980278,[AFS] [F3] [AMARA OKAFOR] V5,0.99,689,683,1.0088,1.44,86,12.4819,0.0115,88,0.0112,PAUSED,1,46,46,43,44,135,5.88,0,0,46,0,,32.6,5.81,5.23,104,19,55.91
2026-07-22,C 01,120247357080990278,[E1] [MKUKER] [AFS] [F3] [AMARA OKAFOR] [ISABELA RIBEIRO],120247357081010278,[AFS] [F3] [AMARA OKAFOR] V6,0.94,707,707,1,1.33,98,13.8614,0.0096,96,0.0098,CAMPAIGN_PAUSED,1,51,51,44,53,156,6.15,0,0,51,0,,34,6.28,5.65,120,17,52.29
2026-07-22,C 01,120247357080990278,[E1] [MKUKER] [AFS] [F3] [AMARA OKAFOR] [ISABELA RIBEIRO],120247357081030278,[AFS] [F3] [AMARA OKAFOR] V3,0.95,809,792,1.0215,1.17,74,9.1471,0.0128,67,0.0142,PAUSED,1,35,35,30,44,105,4.98,0,0,35,0,,41.9,13.3,11.97,150,21,88.69
2026-07-22,C 01,120247357080990278,[E1] [MKUKER] [AFS] [F3] [AMARA OKAFOR] [ISABELA RIBEIRO],120247357081040278,[AFS] [F3] [AMARA OKAFOR] V2,0.99,697,692,1.0072,1.42,77,11.0473,0.0129,88,0.0112,PAUSED,1,48,48,43,42,147,4.45,0,0,48,0,,28.6,4.06,3.65,90,14,45.12
2026-07-22,C 01,120247357080990278,[E1] [MKUKER] [AFS] [F3] [AMARA OKAFOR] [ISABELA RIBEIRO],120247357081050278,[AFS] [F3] [AMARA OKAFOR] V4,0.95,763,763,1,1.25,45,5.8978,0.0211,55,0.0173,PAUSED,1,27,27,24,39,96,3.90,0,0,27,0,,40.6,12.81,11.53,109,22,117.57
2026-07-22,C 01,120247357456980278,[E1] [MKUKER] [AFS] [F3] [ZOLA DLAMINI] [ISABELA RIBEIRO],120247357457050278,[AFS] [F3] [ZOLA DLAMINI] V4,1.04,761,750,1.0147,1.37,51,6.7017,0.0204,49,0.0212,CAMPAIGN_PAUSED,1,30,30,27,40,84,4.42,0,0,30,0,,47.6,5.65,5.08,117,25,48.25
2026-07-22,C 01,120247357456980278,[E1] [MKUKER] [AFS] [F3] [ZOLA DLAMINI] [ISABELA RIBEIRO],120247357457060278,[AFS] [F3] [ZOLA DLAMINI] V2,1.01,693,662,1.0468,1.46,75,10.8225,0.0135,79,0.0128,PAUSED,1,38,38,35,70,129,4.69,0,0,38,0,,54.3,4.27,3.84,95,15,44.96
2026-07-22,C 01,120247357456980278,[E1] [MKUKER] [AFS] [F3] [ZOLA DLAMINI] [ISABELA RIBEIRO],120247357457070278,[AFS] [F3] [ZOLA DLAMINI] V3,1.05,807,804,1.0037,1.3,96,11.8959,0.0109,91,0.0115,CAMPAIGN_PAUSED,1,42,42,39,47,132,2.80,0,0,42,0,,35.6,4.29,3.86,86,13,49.91
2026-07-22,C 01,120247357456980278,[E1] [MKUKER] [AFS] [F3] [ZOLA DLAMINI] [ISABELA RIBEIRO],120247357457080278,[AFS] [F3] [ZOLA DLAMINI] V5,1,623,623,1,1.61,76,12.199,0.0132,88,0.0114,PAUSED,1,55,55,50,63,162,5.05,0,0,55,0,,38.9,12.78,11.5,137,20,93.25
2026-07-22,C 01,120247357456980278,[E1] [MKUKER] [AFS] [F3] [ZOLA DLAMINI] [ISABELA RIBEIRO],120247357457090278,[AFS] [F3] [ZOLA DLAMINI]V6,0.94,655,655,1,1.44,128,19.542,0.0073,121,0.0078,CAMPAIGN_PAUSED,1,59,59,56,74,183,6.55,0,0,59,0,,40.4,8.33,7.5,176,29,47.35
