data,adset_id,adset_name,campaign_id,leads_entrada,cliques_ad,threads,leads_qualificados,leads_avaliados,receita_estimada,sessoes,leads_com_sessao
2026-07-22,120247357080930278,[AFS] [F3] [AMARA OKAFOR] V1,120247357080990278,33,33,32,28,99,1.89,0,0
2026-07-22,120247357080980278,[AFS] [F3] [AMARA OKAFOR] V5,120247357080990278,46,46,43,44,135,5.88,0,0
2026-07-22,120247357081010278,[AFS] [F3] [AMARA OKAFOR] V6,120247357080990278,51,51,44,53,156,6.15,0,0
2026-07-22,120247357081030278,[AFS] [F3] [AMARA OKAFOR] V3,120247357080990278,35,35,30,44,105,4.98,0,0
2026-07-22,120247357081040278,[AFS] [F3] [AMARA OKAFOR] V2,120247357080990278,48,48,43,42,147,4.45,0,0
2026-07-22,120247357081050278,[AFS] [F3] [AMARA OKAFOR] V4,120247357080990278,27,27,24,39,96,3.90,0,0
2026-07-22,120247357457050278,[AFS] [F3] [ZOLA DLAMINI] V4,120247357456980278,30,30,27,40,84,4.42,0,0
2026-07-22,120247357457060278,[AFS] [F3] [ZOLA DLAMINI] V2,120247357456980278,38,38,35,70,129,4.69,0,0
2026-07-22,120247357457070278,[AFS] [F3] [ZOLA DLAMINI] V3,120247357456980278,42,42,39,47,132,2.80,0,0
2026-07-22,120247357457080278,[AFS] [F3] [ZOLA DLAMINI] V5,120247357456980278,55,55,50,63,162,5.05,0,0
2026-07-22,120247357457090278,[AFS] [F3] [ZOLA DLAMINI]V6,120247357456980278,59,59,56,74,183,6.55,0,0
2026-07-22,120247357457100278,[AFS] [F3] [ZOLA DLAMINI] V1,120247357456980278,44,44,38,46,132,2.77,0,0
2026-07-22,120247358420040278,[AFS] [F3] [AMINATA DIALLO] V6,120247358419970278,38,38,36,41,117,3.33,0,0
2026-07-22,120247358420050278,[AFS] [F3] [AMINATA DIALLO] V4,120247358419970278,15,15,15,24,51,1.66,0,0
2026-07-22,120247358420060278,[AFS] [F3] [AMINATA DIALLO] V5,120247358419970278,40,40,38,42,129,5.17,0,0
2026-07-22,120247358420070278,[AFS] [F3] [AMINATA DIALLO] V3,120247358419970278,34,34,34,42,102,4.37,0,0
2026-07-22,120247358420080278,[AFS] [F3] [AMINATA DIALLO] V2,120247358419970278,28,28,27,29,78,2.24,0,0
2026-07-22,120247358420090278,[AFS] [F3] [AMINATA DIALLO] V1,120247358419970278,35,35,28,27,102,4.96,0,0
2026-07-22,120247358791290278,[AFS] [F3] [FOLASADE ADEYEMI] V5,120247358791270278,35,35,31,38,105,3.23,0,0
2026-07-22,120247358791350278,[AFS] [F3] [FOLASADE ADEYEMI] V6,120247358791270278,35,35,30,24,108,2.31,0,0
2026-07-22,120247358791360278,[AFS] [F3] [FOLASADE ADEYEMI] V4,120247358791270278,25,25,24,13,75,2.11,0,0
2026-07-22,120247358791370278,[AFS] [F3] [FOLASADE ADEYEMI] V3,120247358791270278,29,29,28,17,93,2.30,0,0
2026-07-22,120247358791380278,[AFS] [F3] [FOLASADE ADEYEMI] V2,120247358791270278,23,23,21,14,75,2.28,0,0
2026-07-22,120247358791390278,[AFS] [F3] [FOLASADE ADEYEMI] V1,120247358791270278,31,31,27,29,99,3.00,0,0
2026-07-22,120247359464720278,[AFS] [F3] [NOMVULA MOKOENA] V6,120247359464690278,25,25,24,19,75,1.79,0,0
2026-07-22,120247359464770278,[AFS] [F3] [NOMVULA MOKOENA] V4,120247359464690278,25,25,23,20,75,3.07,0,0
2026-07-22,120247359464780278,[AFS] [F3] [NOMVULA MOKOENA] V5,120247359464690278,33,33,30,28,90,4.45,0,0
2026-07-22,120247359464790278,[AFS] [F3] [NOMVULA MOKOENA] V2,120247359464690278,24,24,20,12,75,1.51,0,0
2026-07-22,120247359464800278,[AFS] [F3] [NOMVULA MOKOENA] V1,120247359464690278,24,24,20,12,78,1.48,0,0
2026-07-22,120247359464810278,[AFS] [F3] [NOMVULA MOKOENA] V3,120247359464690278,17,17,15,13,51,2.11,0,0
2026-07-22,120247360141400278,[AFS] [F3] [CHIPO MOYO]  V1,120247360141370278,15,15,14,26,60,2.77,0,0
2026-07-22,120247360141410278,[AFS] [F3] [CHIPO MOYO]  V6,120247360141370278,27,27,26,43,84,3.73,0,0
2026-07-22,120247360141440278,[AFS] [F3] [CHIPO MOYO]  V3,120247360141370278,34,34,32,40,99,3.21,0,0
2026-07-22,120247360141470278,[AFS] [F3] [CHIPO MOYO]  V5,120247360141370278,31,31,26,44,96,4.59,0,0
2026-07-22,120247360141480278,[AFS] [F3] [CHIPO MOYO]  V4,120247360141370278,30,30,27,39,96,4.77,0,0
2026-07-22,120247360141490278,[AFS] [F3] [CHIPO MOYO]  V2,120247360141370278,42,42,42,42,123,4.47,0,0
2026-07-22,120247360356770278,[AFS] [F3] [FATOUMATA TRAORE] V4,120247360356710278,48,48,41,41,141,4.70,0,0
2026-07-22,120247360356790278,[AFS] [F3] [FATOUMATA TRAORE] V6,120247360356710278,27,27,25,29,81,3.86,0,0
2026-07-22,120247360356800278,[AFS] [F3] [FATOUMATA TRAORE] V5,120247360356710278,20,20,17,32,66,2.69,0,0
2026-07-22,120247360356810278,[AFS] [F3] [FATOUMATA TRAORE] V3,120247360356710278,34,34,28,20,93,1.76,0,0
2026-07-22,120247360356820278,[AFS] [F3] [FATOUMATA TRAORE] V2,120247360356710278,23,23,19,20,69,1.16,0,0
2026-07-22,120247360356830278,[AFS] [F3] [FATOUMATA TRAORE] V1,120247360356710278,50,50,47,69,159,6.31,0,0
2026-07-22,120247360531040278,[AFS] [F3] [AMINATA DIALLO] V1,120247360531070278,31,31,29,34,84,2.52,0,0
2026-07-22,120247360531120278,[AFS] [F3] [AMINATA DIALLO] V3,120247360531070278,31,31,27,31,99,2.32,0,0
2026-07-22,120247360531130278,[AFS] [F3] [AMINATA DIALLO] V5,120247360531070278,27,27,25,30,84,2.80,0,0
2026-07-22,120247360531140278,[AFS] [F3] [AMINATA DIALLO] V6,120247360531070278,41,41,38,68,123,9.25,0,0
2026-07-22,120247360531150278,[AFS] [F3] [AMINATA DIALLO]V4,120247360531070278,40,40,35,40,117,3.62,0,0
2026-07-22,120247360531160278,[AFS] [F3] [AMINATA DIALLO] V2,120247360531070278,48,48,43,45,138,4.63,0,0
2026-07-22,120247382249470278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V3,120247382249440278,36,36,31,27,111,2.16,0,0
2026-07-22,120247382249520278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V1,120247382249440278,30,30,25,21,87,1.42,0,0
2026-07-22,120247382249530278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V2,120247382249440278,42,42,41,42,129,3.68,0,0
2026-07-22,120247382249540278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V5,120247382249440278,72,72,67,99,219,8.33,0,0
2026-07-22,120247382249550278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V6,120247382249440278,31,31,31,51,93,5.07,0,0
2026-07-22,120247382249560278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V4,120247382249440278,19,19,17,21,57,1.38,0,0
2026-07-22,120247382323040278,[AFS] [F3] [WANGARI KAMAU] V4,120247382322970278,40,40,36,41,120,3.41,0,0
2026-07-22,120247382323050278,[AFS] [F3] [WANGARI KAMAU] V6,120247382322970278,32,32,29,40,105,3.68,0,0
2026-07-22,120247382323060278,[AFS] [F3] [WANGARI KAMAU] V5,120247382322970278,40,40,36,49,123,5.64,0,0
2026-07-22,120247382323070278,[AFS] [F3] [WANGARI KAMAU] V2,120247382322970278,25,25,23,23,72,3.10,0,0
2026-07-22,120247382323080278,[AFS] [F3] [WANGARI KAMAU] V3,120247382322970278,21,21,19,24,72,2.46,0,0
2026-07-22,120247382323090278,[AFS] [F3] [WANGARI KAMAU] V1,120247382322970278,35,35,32,41,111,3.71,0,0
2026-07-22,120247461971660278,[AFS_RELA_EN_BOT_0001] [ADAMMA] V1,120247461971670278,5,5,5,3,12,0.32,0,0
2026-07-22,120247462052200278,[AFS_RELA_EN_BOT_0001] [ADAMMA] V2,120247461971670278,4,4,4,6,6,0.85,0,0
