data,dominio,nome_bloco,impressoes,cliques,receita_bruta,receita_liquida,ecpm,taxa_correspondencia_programatica
2026-07-22,app.mkuker.com,apm_mobile_interstitial,1,0,0.02,0.02,23.1,100
2026-07-22,app.mkuker.com,apm_mobile_top,20,0,0.1,0.09,5.09,100
2026-07-22,app.mkuker.com,apm_rewarded,18,0,2.29,2.06,127.28,100
2026-07-22,mkuker.com,aat_desktop_content_1,1,0,0,0,2.28,100
2026-07-22,mkuker.com,aat_desktop_interstitial,2,0,0.03,0.03,17.24,100
2026-07-22,mkuker.com,aat_desktop_top,19,0,0.03,0.03,1.81,100
2026-07-22,mkuker.com,aat_mobile_anchor,75,0,0.18,0.16,2.39,100
2026-07-22,mkuker.com,aat_mobile_content_1,33,0,0.08,0.07,2.49,100
2026-07-22,mkuker.com,aat_mobile_content_2,158,0,0.29,0.26,1.85,100
2026-07-22,mkuker.com,aat_mobile_interstitial,51,0,1.08,0.97,21.14,100
2026-07-22,mkuker.com,aat_mobile_top,521,0,0.8,0.72,1.53,100
2026-07-22,mkuker.com,aat_mobile_top_rebid,9,0,0.04,0.04,4.42,100
2026-07-22,mkuker.com,aat_rewarded,198,0,11.19,10.07,56.52,100
2026-07-22,mkuker.com,mku_desktop_interstitial,9,0,0.45,0.41,50.2,100
2026-07-22,mkuker.com,mku_desktop_top,63,0,0.7,0.63,11.11,100
2026-07-22,mkuker.com,mku_mobile_interstitial,931,0,102.11,91.9,109.67,100
2026-07-22,mkuker.com,mku_mobile_top,14618,0,342.66,308.39,23.44,100
2026-07-22,mkuker.com,mku_rewarded,3976,0,930.66,837.59,234.07,100
2026-07-23,app.mkuker.com,apm_mobile_interstitial,2,0,0.1,0.09,51.53,100
2026-07-23,app.mkuker.com,apm_mobile_top,24,0,0.16,0.14,6.67,100
2026-07-23,app.mkuker.com,apm_rewarded,15,0,1.5,1.35,99.81,100
2026-07-23,app.mkuker.com,apm_rewarded_rebid,1,0,0.25,0.23,245.33,100
2026-07-23,mkuker.com,aat_desktop_content_1,3,0,0.01,0.01,3.02,100
2026-07-23,mkuker.com,aat_desktop_interstitial,2,0,0.08,0.07,40.07,100
2026-07-23,mkuker.com,aat_desktop_top,15,0,0.05,0.05,3.24,100
2026-07-23,mkuker.com,aat_mobile_anchor,36,0,0.08,0.07,2.12,100
