data,adset_id,campaign_id,receita_gam_bruta,receita_gam_liquida,impressoes_gam,cliques_gam,ecpm_gam
2026-07-22,120247357080930278,120247357080990278,3.15,2.83,63,6,49.99
2026-07-22,120247357080980278,120247357080990278,5.81,5.23,104,19,55.91
2026-07-22,120247357081010278,120247357080990278,6.28,5.65,120,17,52.29
2026-07-22,120247357081030278,120247357080990278,13.3,11.97,150,21,88.69
2026-07-22,120247357081040278,120247357080990278,4.06,3.65,90,14,45.12
2026-07-22,120247357081050278,120247357080990278,12.81,11.53,109,22,117.57
2026-07-22,120247357457050278,120247357456980278,5.65,5.08,117,25,48.25
2026-07-22,120247357457060278,120247357456980278,4.27,3.84,95,15,44.96
2026-07-22,120247357457070278,120247357456980278,4.29,3.86,86,13,49.91
2026-07-22,120247357457080278,120247357456980278,12.78,11.5,137,20,93.25
2026-07-22,120247357457090278,120247357456980278,8.33,7.5,176,29,47.35
2026-07-22,120247357457100278,120247357456980278,5.98,5.38,126,25,47.43
2026-07-22,120247358420040278,120247358419970278,14.01,12.61,82,11,170.86
2026-07-22,120247358420050278,120247358419970278,1.18,1.06,27,2,43.6
2026-07-22,120247358420060278,120247358419970278,7.51,6.76,132,26,56.86
2026-07-22,120247358420070278,120247358419970278,7.02,6.31,106,14,66.18
2026-07-22,120247358420080278,120247358419970278,5.11,4.6,86,13,59.38
2026-07-22,120247358420090278,120247358419970278,5.28,4.76,84,20,62.9
2026-07-22,120247358791290278,120247358791270278,5.47,4.92,82,8,66.67
2026-07-22,120247358791350278,120247358791270278,1.93,1.74,46,3,42
2026-07-22,120247358791360278,120247358791270278,2.95,2.65,56,9,52.64
2026-07-22,120247358791370278,120247358791270278,3.21,2.89,45,5,71.33
2026-07-22,120247358791380278,120247358791270278,2.78,2.51,58,6,48
2026-07-22,120247358791390278,120247358791270278,4.27,3.85,58,9,73.69
2026-07-22,120247359464720278,120247359464690278,1.52,1.37,23,3,66.28
2026-07-22,120247359464770278,120247359464690278,7.22,6.5,108,20,66.84
2026-07-22,120247359464780278,120247359464690278,10.09,9.08,120,22,84.12
2026-07-22,120247359464790278,120247359464690278,1.34,1.21,28,4,47.9
2026-07-22,120247359464800278,120247359464690278,3.2,2.88,55,6,58.19
2026-07-22,120247359464810278,120247359464690278,1.83,1.64,30,8,60.89
2026-07-22,120247360141400278,120247360141370278,4.24,3.81,61,10,69.48
2026-07-22,120247360141410278,120247360141370278,7.48,6.73,117,20,63.94
2026-07-22,120247360141440278,120247360141370278,5.8,5.22,72,8,80.5
2026-07-22,120247360141470278,120247360141370278,8.16,7.35,105,22,77.74
2026-07-22,120247360141480278,120247360141370278,5.58,5.02,112,12,49.82
2026-07-22,120247360141490278,120247360141370278,7.3,6.57,103,18,70.84
2026-07-22,120247360356770278,120247360356710278,10.12,9.1,127,29,79.65
2026-07-22,120247360356790278,120247360356710278,6.48,5.83,85,17,76.19
2026-07-22,120247360356800278,120247360356710278,5.37,4.83,83,15,64.7
2026-07-22,120247360356810278,120247360356710278,5.11,4.6,63,11,81.1
2026-07-22,120247360356820278,120247360356710278,2.13,1.91,28,7,75.99
2026-07-22,120247360356830278,120247360356710278,11.76,10.58,151,23,77.86
2026-07-22,120247360531040278,120247360531070278,2.31,2.08,54,7,42.76
2026-07-22,120247360531120278,120247360531070278,4.2,3.78,55,7,76.35
2026-07-22,120247360531130278,120247360531070278,6.74,6.06,84,20,80.2
2026-07-22,120247360531140278,120247360531070278,14.01,12.61,278,47,50.38
2026-07-22,120247360531150278,120247360531070278,3.64,3.28,81,12,44.96
2026-07-22,120247360531160278,120247360531070278,8.94,8.05,124,21,72.13
2026-07-22,120247382249470278,120247382249440278,4.53,4.08,53,9,85.45
2026-07-22,120247382249520278,120247382249440278,7.29,6.56,46,9,158.54
2026-07-22,120247382249530278,120247382249440278,6.3,5.67,97,14,64.92
2026-07-22,120247382249540278,120247382249440278,12.76,11.48,190,27,67.14
2026-07-22,120247382249550278,120247382249440278,10.91,9.82,140,37,77.91
2026-07-22,120247382249560278,120247382249440278,2.02,1.81,38,5,53.03
2026-07-22,120247382323040278,120247382322970278,7.1,6.39,83,13,85.54
2026-07-22,120247382323050278,120247382322970278,10.34,9.31,89,19,116.21
2026-07-22,120247382323060278,120247382322970278,16,14.4,162,25,98.79
2026-07-22,120247382323070278,120247382322970278,4.47,4.02,86,4,51.99
