data,conta,account_id,campaign_id,campaign_name,adset_id,adset_name,gasto,impressoes,alcance,frequencia,cpm,cliques_link,ctr_link,ctr_todos,cpc_link,conversas,custo_conversa,status_atual,orcamento_diario_atual
2026-07-22,C 01,1558358552479442,120247357080990278,[E1] [MKUKER] [AFS] [F3] [AMARA OKAFOR] [ISABELA RIBEIRO],120247357080930278,[AFS] [F3] [AMARA OKAFOR] V1,0.99,619,611,1.0131,1.6,48,7.7544,12.9241,0.0206,66,0.015,PAUSED,1
2026-07-22,C 01,1558358552479442,120247357080990278,[E1] [MKUKER] [AFS] [F3] [AMARA OKAFOR] [ISABELA RIBEIRO],120247357080980278,[AFS] [F3] [AMARA OKAFOR] V5,0.99,689,683,1.0088,1.44,86,12.4819,18.7228,0.0115,88,0.0112,PAUSED,1
2026-07-22,C 01,1558358552479442,120247357080990278,[E1] [MKUKER] [AFS] [F3] [AMARA OKAFOR] [ISABELA RIBEIRO],120247357081010278,[AFS] [F3] [AMARA OKAFOR] V6,0.94,707,707,1,1.33,98,13.8614,18.1047,0.0096,96,0.0098,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247357080990278,[E1] [MKUKER] [AFS] [F3] [AMARA OKAFOR] [ISABELA RIBEIRO],120247357081030278,[AFS] [F3] [AMARA OKAFOR] V3,0.95,809,792,1.0215,1.17,74,9.1471,13.4734,0.0128,67,0.0142,PAUSED,1
2026-07-22,C 01,1558358552479442,120247357080990278,[E1] [MKUKER] [AFS] [F3] [AMARA OKAFOR] [ISABELA RIBEIRO],120247357081040278,[AFS] [F3] [AMARA OKAFOR] V2,0.99,697,692,1.0072,1.42,77,11.0473,15.6385,0.0129,88,0.0112,PAUSED,1
2026-07-22,C 01,1558358552479442,120247357080990278,[E1] [MKUKER] [AFS] [F3] [AMARA OKAFOR] [ISABELA RIBEIRO],120247357081050278,[AFS] [F3] [AMARA OKAFOR] V4,0.95,763,763,1,1.25,45,5.8978,6.6841,0.0211,55,0.0173,PAUSED,1
2026-07-22,C 01,1558358552479442,120247357456980278,[E1] [MKUKER] [AFS] [F3] [ZOLA DLAMINI] [ISABELA RIBEIRO],120247357457050278,[AFS] [F3] [ZOLA DLAMINI] V4,1.04,761,750,1.0147,1.37,51,6.7017,7.2273,0.0204,49,0.0212,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247357456980278,[E1] [MKUKER] [AFS] [F3] [ZOLA DLAMINI] [ISABELA RIBEIRO],120247357457060278,[AFS] [F3] [ZOLA DLAMINI] V2,1.01,693,662,1.0468,1.46,75,10.8225,15.5844,0.0135,79,0.0128,PAUSED,1
2026-07-22,C 01,1558358552479442,120247357456980278,[E1] [MKUKER] [AFS] [F3] [ZOLA DLAMINI] [ISABELA RIBEIRO],120247357457070278,[AFS] [F3] [ZOLA DLAMINI] V3,1.05,807,804,1.0037,1.3,96,11.8959,16.3569,0.0109,91,0.0115,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247357456980278,[E1] [MKUKER] [AFS] [F3] [ZOLA DLAMINI] [ISABELA RIBEIRO],120247357457080278,[AFS] [F3] [ZOLA DLAMINI] V5,1,623,623,1,1.61,76,12.199,21.0273,0.0132,88,0.0114,PAUSED,1
2026-07-22,C 01,1558358552479442,120247357456980278,[E1] [MKUKER] [AFS] [F3] [ZOLA DLAMINI] [ISABELA RIBEIRO],120247357457090278,[AFS] [F3] [ZOLA DLAMINI]V6,0.94,655,655,1,1.44,128,19.542,25.9542,0.0073,121,0.0078,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247357456980278,[E1] [MKUKER] [AFS] [F3] [ZOLA DLAMINI] [ISABELA RIBEIRO],120247357457100278,[AFS] [F3] [ZOLA DLAMINI] V1,0.96,601,589,1.0204,1.6,51,8.4859,11.4809,0.0188,67,0.0143,PAUSED,1
2026-07-22,C 01,1558358552479442,120247358419970278,[E1] [MKUKER] [AFS] [F3] [AMINATA DIALLO] [ISABELA RIBEIRO],120247358420040278,[AFS] [F3] [AMINATA DIALLO] V6,0.95,725,710,1.0211,1.31,124,17.1034,21.7931,0.0077,93,0.0102,PAUSED,1
2026-07-22,C 01,1558358552479442,120247358419970278,[E1] [MKUKER] [AFS] [F3] [AMINATA DIALLO] [ISABELA RIBEIRO],120247358420050278,[AFS] [F3] [AMINATA DIALLO] V4,0.92,756,746,1.0134,1.22,39,5.1587,7.0106,0.0236,42,0.0219,PAUSED,1
2026-07-22,C 01,1558358552479442,120247358419970278,[E1] [MKUKER] [AFS] [F3] [AMINATA DIALLO] [ISABELA RIBEIRO],120247358420060278,[AFS] [F3] [AMINATA DIALLO] V5,0.98,622,617,1.0081,1.58,81,13.0225,20.5788,0.0121,90,0.0109,PAUSED,1
2026-07-22,C 01,1558358552479442,120247358419970278,[E1] [MKUKER] [AFS] [F3] [AMINATA DIALLO] [ISABELA RIBEIRO],120247358420070278,[AFS] [F3] [AMINATA DIALLO] V3,0.97,798,775,1.0297,1.22,71,8.8972,13.0326,0.0137,75,0.0129,PAUSED,1
2026-07-22,C 01,1558358552479442,120247358419970278,[E1] [MKUKER] [AFS] [F3] [AMINATA DIALLO] [ISABELA RIBEIRO],120247358420080278,[AFS] [F3] [AMINATA DIALLO] V2,0.97,650,635,1.0236,1.49,66,10.1538,14.6154,0.0147,58,0.0167,PAUSED,1
2026-07-22,C 01,1558358552479442,120247358419970278,[E1] [MKUKER] [AFS] [F3] [AMINATA DIALLO] [ISABELA RIBEIRO],120247358420090278,[AFS] [F3] [AMINATA DIALLO] V1,0.95,622,619,1.0048,1.53,48,7.717,10.7717,0.0198,64,0.0148,PAUSED,1
2026-07-22,C 01,1558358552479442,120247358791270278,[E1] [MKUKER] [AFS] [F3] [FOLASADE ADEYEMI] [ISABELA RIBEIRO],120247358791290278,[AFS] [F3] [FOLASADE ADEYEMI] V5,1.02,1162,1155,1.0061,0.88,58,4.9914,5.5938,0.0176,60,0.017,PAUSED,1
2026-07-22,C 01,1558358552479442,120247358791270278,[E1] [MKUKER] [AFS] [F3] [FOLASADE ADEYEMI] [ISABELA RIBEIRO],120247358791350278,[AFS] [F3] [FOLASADE ADEYEMI] V6,1.01,686,681,1.0073,1.47,85,12.3907,15.7434,0.0119,65,0.0155,PAUSED,1
2026-07-22,C 01,1558358552479442,120247358791270278,[E1] [MKUKER] [AFS] [F3] [FOLASADE ADEYEMI] [ISABELA RIBEIRO],120247358791360278,[AFS] [F3] [FOLASADE ADEYEMI] V4,0.96,582,569,1.0228,1.65,45,7.732,9.1065,0.0213,47,0.0204,PAUSED,1
2026-07-22,C 01,1558358552479442,120247358791270278,[E1] [MKUKER] [AFS] [F3] [FOLASADE ADEYEMI] [ISABELA RIBEIRO],120247358791370278,[AFS] [F3] [FOLASADE ADEYEMI] V3,1.07,687,681,1.0088,1.56,51,7.4236,11.7904,0.021,53,0.0202,PAUSED,1
2026-07-22,C 01,1558358552479442,120247358791270278,[E1] [MKUKER] [AFS] [F3] [FOLASADE ADEYEMI] [ISABELA RIBEIRO],120247358791380278,[AFS] [F3] [FOLASADE ADEYEMI] V2,0.97,658,651,1.0108,1.47,30,4.5593,5.6231,0.0323,45,0.0216,PAUSED,1
2026-07-22,C 01,1558358552479442,120247358791270278,[E1] [MKUKER] [AFS] [F3] [FOLASADE ADEYEMI] [ISABELA RIBEIRO],120247358791390278,[AFS] [F3] [FOLASADE ADEYEMI] V1,1.12,611,588,1.0391,1.83,69,11.293,15.3846,0.0162,62,0.0181,PAUSED,1
2026-07-22,C 01,1558358552479442,120247359464690278,[E1] [MKUKER] [AFS] [F3] [NOMVULA MOKOENA] [ISABELA RIBEIRO],120247359464720278,[AFS] [F3] [NOMVULA MOKOENA] V6,1.07,671,642,1.0452,1.59,42,6.2593,12.9657,0.0255,47,0.0228,CAMPAIGN_PAUSED,1
